"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Russian Federation","RUS","Other greenhouse gas emissions (% change from 1990)","EN.ATM.GHGO.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-5.7199172474258","-6.89650957855343","-6.05295914872513","-9.68426204547264","-14.0654660101434","5.47992717730013","-12.135007179875","234.614493542458","-7.45362550413261","48.8726088925067","13.6894562171579","96.8086970054747","224.782396961936","-68.7894217504989","-37.0425325090669","9.58007441430444","-39.5817665126939","67.8303577660933","-21.1009558047259","-19.6858943907889","1.54871817435891","1.54871817435891","","","","","","","","",
"Russian Federation","RUS","Combustible renewables and waste (% of total energy)","EG.USE.CRNW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.25568848483568","1.19577844305228","1.22494064501392","1.28018271444915","0.963758825857666","0.869806953597997","0.757460044367374","0.69028034712038","0.57999324307808","0.748076019094098","0.571997638345321","0.555728229006439","0.511538885724802","0.494913577585555","0.469715276670946","0.478496357235625","0.442032361946648","0.501813934069926","0.415977439420776","0.403284766255631","0.383234634531136","0.380435908337347","0.392073102971853","0.380690672596283","0.360181803606853","","","","","","",
"Russian Federation","RUS","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.1561739940415","72.5378055596384","70.3094848529922","68.5474133150292","68.2675701038198","67.4560490602147","68.400053890135","67.4925045668732","67.6981901235674","66.1915166198023","65.8982415787","64.6170781923082","65.3831276312475","66.1916730101233","65.1912829805195","65.7123572399567","66.404189703833","66.4161894771951","68.0920542626328","65.5211631794514","67.1186430862954","67.4458998614436","67.5044631459638","66.1551888304436","66.0132933835248","65.481225536611","","","","","",
"Russian Federation","RUS","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1358414235.8","2196350759.1","3469678704.9","6158457958.3","7315000750.2","7032658583","10811803269.9","12069991740","11625175989.7","16612454296.7","13273101908.4","21768324625.9","19923786527.1","40642301940.4","47917471695.3","37878092815.4","81059642298.6","91133471701.4","55718869340.5","44641067671.3","50066479575.9","50932429828.4","88834660809.4","101029886822.2","71511707032.6","81133959720.2","109984464459.6","94338168333.5","",
"Russian Federation","RUS","Net official flows from UN agencies, UNRWA (current US$)","DT.NFL.UNRW.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Russian Federation","RUS","PPG, commercial banks (NFL, current US$)","DT.NFL.PCBK.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2294102000","-385588000","-68239000","80243000","-24425000","-26853000","-264313000","-35014000","-19371000","247380000","-26634000","-506492000","-24883000","10026871000","17950849000","21154472000","11152649000","5245192000","16742961000","8359538000","-3435223000","40914030000","-24345190000","-25341760000","-13867668000","9787196000","-34239240000","-11884292000","",
"Russian Federation","RUS","Net financial flows, bilateral (NFL, current US$)","DT.NFL.BLAT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1668871322.6","82710543.4","398121618.1","-357099640.5","2674249794.8","-34682177.4","-239929399.6","217815665.1","-692170713.5","-1034126226.8","-1644279545.2","-1926010892.6","-2809875654","-17839545042.6","-25206396560.5","-850006186.4","-549812736.8","-311028795.1","883411090.3","-1686692557.3","-417737000","-357567830","-279234251.5","-189421751.1","-197209000","-842350222.2","-69924222.2","-69924222.2","",
"Russian Federation","RUS","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79671384011.6","112463242743.2","122365566099.3","122074627736.6","127025505816.3","128143868208","175719267829","180043060834.5","146665107929.8","141151650545.7","138446858475.7","185905051377.9","214206935067.3","249832035581","311265306723.7","416308041281.2","419280876943.6","406431159699.8","417851994642.8","544318125577.8","591795805719.5","668468551019.5","549602745561.2","467699348727.2","533203761047.3","518191187324.6","453808114126.2","490725792644.5","",
"Russian Federation","RUS","Net bilateral aid flows from DAC donors, Luxembourg (current US$)","DC.DAC.LUXL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","569999.992847443","230000.004172325","","939999.997615814","180000.007152557","569999.992847443","740000.009536743","280000.001192093","200000.002980232","280000.001192093","750000","779999.971389771","740000.009536743","","","","","","","","","","","","","","","","",
"Russian Federation","RUS","Net bilateral aid flows from DAC donors, European Union institutions (current US$)","DC.DAC.CECL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","224949996.948242","7510000.22888184","61229999.5422363","138600006.103516","145110000.610352","139649993.896484","105339996.337891","182360000.610352","97220001.2207031","97949996.9482422","114050003.051758","165279998.779297","160070007.324219","","","","","","","","","","","","","","","","",
"Russian Federation","RUS","Portfolio equity, net inflows (BoP, current US$)","BX.PEF.TOTL.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44760000","47110000","2152180000","1264720000","713990000","-257190000","150200000","542440000","2626180000","421840000","255740000","-163270000","7234450000","18399240000","-15383090000","3762720000","-4885280000","-9795690000","1162400000","-7625040000","-12966280000","-5538270000","-1788020000","-7939870000","-4163860000","-4320080000","",
"Russian Federation","RUS","Grants, excluding technical cooperation (BoP, current US$)","BX.GRT.EXTA.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","544380000","1801760000","1605920000","1566220000","952260000","459950000","351860000","174840000","796900000","654250000","339170000","229780000","406000000","658130000","","","","","","","","","","","","","","","","",
"Russian Federation","RUS","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1566000000","1021942000","310960000","605780000","922830000","3183910000","1209750000","2195120000","3178830000","2541040000","3532650000","9723950000","13782020000","17879650000","29993150000","44801220000","55662610000","43280520000","52616270000","66850790000","48822420000","86506530000","57082180000","22085070000","22314330000","36757030000","31376880000","21923140000","",
"Russian Federation","RUS","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.21","80.72","67.66","66.4","67.1","74.66","52.25","56.77","63.17","70.73","71.93","66.34","71.73","74.15","74.97","75.97","89.39","85.4","61.6","91.96","77.61","90.46","97.03","99.79","103.18","109.76","103.26","","",
"Russian Federation","RUS","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59541250","58824320","53953252","49309960","47250360","48491600","36076300","37069300","41145200","43057500","43030600","36759400","40493400","41123848","40540700","40309250","44576100","41926223","32353784","40606421","36986403","40323672","42205520","42839695","44423536","44246538","41983108","","",
"Russian Federation","RUS","Battle-related deaths (number of people)","VC.BTL.DETH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","192","220","","145","229","1754","2721","","","5854","2907","791","1289","480","1151","682","259","176","404","696","418","356","516","321","174","84","69","53","29","26","",
"Russian Federation","RUS","Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports)","TX.VAL.MRCH.R1.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.99317329219612","8.71042881272816","5.95109699543975","6.61779303670948","7.19466021720401","5.92131486437213","5.326091347638","5.99264472545673","5.93003261226912","5.92085510652196","7.53418010284218","7.55178207103842","7.34826486523984","6.52517068199722","6.02866258798199","5.22309771423867","5.46955960312825","6.683703668762","6.6677693456637","7.73886601531372","8.27225365817386","8.32720158819268","9.27110587304202","9.82536115914008","11.4833106488194","12.5188568187887","14.2789313592395","14.6360970516901","",
"Russian Federation","RUS","Travel services (% of commercial service imports)","TM.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.9484447047527","57.4075723830735","53.6362954469959","50.5040315532841","52.5529168708318","52.4941898395049","53.4346389228886","45.367935646563","47.247957081118","46.1907574629884","45.8188752892362","42.9444673577778","38.650601855659","34.4995424902953","30.6046986057305","34.339813513408","36.4532162995979","36.8082734940922","40.1039911144271","42.5097035978904","42.4085084818144","40.0437077637107","32.7690061291713","35.5191874273286","36.6878346074421","37.1462214835612","",
"Russian Federation","RUS","Merchandise imports (current US$)","TM.VAL.MRCH.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40737000000","36135000000","50452000000","62603000000","68092000000","71983000000","58015000000","39537000000","44862000000","53764000000","60966000000","76070000000","97382000000","125434000000","164281000000","223486000000","291861000000","191803000000","248634000000","323831000000","335446000000","341269000000","307877000000","193019000000","191493000000","238384000000","248856000000","254598000000","",
"Russian Federation","RUS","Bound rate, simple mean, primary products (%)","TM.TAX.TCOM.BR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.48","8.48","8.48","8.49","8.48","8.57","8.31","8.56","8.31","8.31","8.33","8.33","8.33","",
"Russian Federation","RUS","Bound rate, simple mean, manufactured products (%)","TM.TAX.MANF.BR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.89","6.89","6.89","6.89","6.89","6.86","7","6.86","7","7","7.01","7.01","7.01","",
"Russian Federation","RUS","Urban population","SP.URB.TOTL","64421857","66226377","68060071","69923357","71815164","73731369","75267305","76812479","78366306","79922296","81464683","82992261","84524649","86061054","87600777","89145034","90810675","92479950","94157479","95659612","96960865","98228786","99464693","100677781","102058393","103466989","104825013","106169956","107471421","108424260","108600667","108905031","109004756","108940535","108895790","108866282","108700642","108515146","108329810","107987927","107528803","107067910","106569238","106133030","105771342","105433226","105152927","105037446","105055527","105149987","105261487","105407937","105669982","105998572","106354644","106703732","107050095","107349517","107539205","107708298","",
"Russian Federation","RUS","Technicians in R&D (per million people)","SP.POP.TECH.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","654.78615","602.47065","566.63041","547.91886","570.26779","575.42059","574.40759","556.76308","552.19076","516.82262","517.945","511.3348","486.88029","474.11193","474.22877","490.53247","475.24238","483.31047","496.61687","483.64295","460.89708","451.2263","437.83869","","",
"Russian Federation","RUS","Population ages 65 and above, male","SP.POP.65UP.MA.IN","2166124","2214620","2260276","2305234","2351065","2400467","2459893","2519822","2582993","2652238","2728326","2841969","2947218","3048223","3153194","3266524","3407930","3560527","3702046","3800177","3840091","3871828","3855705","3808719","3758985","3714318","3727312","3732053","3757556","3845149","4000336","4266361","4591207","4921895","5193977","5372737","5540033","5604862","5621331","5654088","5736051","5933463","6167888","6378921","6480950","6431062","6404960","6290584","6141787","6020263","5946935","5967819","6014140","6083183","6172125","6278602","6498727","6731767","6964320","7188656","",
"Russian Federation","RUS","Population ages 35-39, female (% of female population)","SP.POP.3539.FE.5Y","6.88654538981127","7.3527714032423","7.89274878740935","8.39775261341525","8.7075928948177","8.73722277026447","8.48901650539009","7.9202901108242","7.22375513815615","6.69447324462815","6.50046520958716","6.66349405205828","7.17496417530484","7.8061173724112","8.19426883490583","8.13312903531685","7.65124081008094","6.75384861709897","5.67979207287345","4.81443531671685","4.39173731632976","4.36068821399929","4.72691485706942","5.34003462953586","5.9540063357425","6.41861140436784","6.77093094586957","7.00968841856092","7.16717625978047","7.31014727586074","7.47835252175809","7.65406554838221","7.83829421940921","8.00874305187405","8.12910359685293","8.17759724690561","8.18252907690322","8.11676276109663","7.99036868971356","7.81661036230725","7.60475214501108","7.32873427378794","7.01131609278854","6.69519121836313","6.44462471812532","6.30043429738611","6.19027849880918","6.21396087581912","6.34919846945465","6.52190757979702","6.66849004488393","6.79277147947055","6.8706455899592","6.92146310945447","6.98298915244738","7.07707603791744","7.17869621203009","7.29077824758939","7.41295675046361","7.54444781173517","",
"Russian Federation","RUS","Population ages 10-14, female (% of female population)","SP.POP.1014.FE.5Y","7.83899852198281","8.20975684711523","8.44189973339482","8.56814521592912","8.66078381083378","8.77155760667687","8.89215979237931","8.99639867940467","9.07572200995936","9.10132029296405","9.0451993227409","8.91457233479686","8.69937295088878","8.42634004782167","8.11942739651154","7.78603799806799","7.44113589793185","7.0751944493246","6.7033849191881","6.37778547431894","6.15934653065476","6.07557089020729","6.097675101933","6.20068452787226","6.32365895637312","6.41350350355382","6.49023783225152","6.53877436766244","6.5685934626443","6.60930250281246","6.68592679558905","6.79333412221678","6.93400527339773","7.09353461615567","7.24994313488025","7.38837162026972","7.546231480315","7.67002000595193","7.75058073903701","7.7446329867527","7.59425556701489","7.2698526390844","6.81474935428595","6.27296484296761","5.73574327014889","5.28636602273005","4.95504929717671","4.68206265160149","4.44698111644743","4.24062370173483","4.07896370595683","4.02008291382577","4.04879340317497","4.14627448235483","4.27622475503148","4.40797934512923","4.53854851804662","4.66915647543512","4.80035721185757","4.94000586692206","",
"Russian Federation","RUS","Survival to age 65, male (% of cohort)","SP.DYN.TO65.MA.ZS","56.769434","57.645335","58.521236","58.3996504","58.2780648","58.1564792","58.0348936","57.913308","57.5498634","57.1864188","56.8229742","56.4595296","56.096085","55.4463042","54.7965234","54.1467426","53.4969618","52.847181","52.6088594","52.3705378","52.1322162","51.8938946","51.655573","52.761158","53.866743","54.972328","56.077913","57.183498","55.371565","53.559632","51.747699","49.935766","48.123833","47.6018226","47.0798122","46.5578018","46.0357914","45.513781","44.7259102","43.9380394","43.1501686","42.3622978","41.574427","42.686702","43.798977","44.911252","46.023527","47.135802","48.8462998","50.5567976","52.2672954","53.9777932","55.688291","56.635997","57.583703","58.531409","59.479115","60.426821","60.7597112","","",
"Russian Federation","RUS","Vitamin A supplementation coverage rate (% of children ages 6-59 months)","SN.ITK.VITA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Russian Federation","RUS","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.19000005722046","5.94000005722046","8.28999996185303","9.68000030517578","10","12.1400003433228","13.539999961853","13.1700000762939","10.7799997329712","9.34000015258789","8.14000034332275","8.46000003814697","8","7.30999994277954","7.42000007629395","6.34999990463257","6.46000003814697","8.90999984741211","7.88000011444092","6.96999979019165","5.78999996185303","5.76000022888184","5.48000001907349","5.82000017166138","5.76000022888184","5.3600001335144","4.90999984741211","4.65000009536743","",
"Russian Federation","RUS","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.960000038147","13.710000038147","16.3199996948242","18.7600002288818","19.3299999237061","23.5300006866455","27.1000003814697","23.9500007629395","20.7099990844727","18","15.5699996948242","17.5499992370605","17.2099990844727","15.5100002288818","16.3700008392334","14.4399995803833","14.039999961853","18.4599990844727","17.0900001525879","15.4499998092651","14.8599996566772","13.9399995803833","13.789999961853","16.0900001525879","16.4599990844727","16.3099994659424","16.9599990844727","15.1800003051758","",
"Russian Federation","RUS","Labor force participation rate, male (% of male population ages 15+) (national estimate)","SL.TLF.CACT.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.3600006103516","","","78.1999969482422","75.9499969482422","73.4700012207031","72.7799987792969","71.3300018310547","69.3000030517578","67.9199981689453","71.4599990844727","71.5","70.0899963378906","70.2200012207031","69.8899993896484","70.5500030517578","71.0599975585938","71.2799987792969","72.370002746582","73.3300018310547","73.4100036621094","73.8399963378906","74.3899993896484","74.6999969482422","74.6999969482422","75.1100006103516","75.5299987792969","75.9400024414063","71.3399963378906","71.3199996948242","70.5500030517578","",
